Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
10/01/2019 14:05,10/01/2019 15:06,79
10/01/2019 15:06,10/01/2019 16:06,78
10/01/2019 16:06,10/01/2019 17:06,77
10/01/2019 17:06,10/01/2019 18:06,77
10/01/2019 18:06,10/01/2019 19:06,79
10/01/2019 19:06,10/01/2019 20:07,78
10/01/2019 20:07,10/01/2019 21:07,78
10/01/2019 21:07,10/01/2019 22:07,74
10/01/2019 22:07,10/01/2019 23:07,77
10/01/2019 23:07,11/01/2019 00:07,76
11/01/2019 00:08,11/01/2019 01:08,77
11/01/2019 01:08,11/01/2019 02:08,75
11/01/2019 02:08,11/01/2019 03:08,75
11/01/2019 03:08,11/01/2019 04:08,77
11/01/2019 04:08,11/01/2019 05:09,79
11/01/2019 05:09,11/01/2019 06:09,75
11/01/2019 06:09,11/01/2019 07:09,76
11/01/2019 07:09,11/01/2019 08:09,79
11/01/2019 08:09,11/01/2019 09:09,75
11/01/2019 09:09,11/01/2019 10:10,77
11/01/2019 10:10,11/01/2019 11:10,75
11/01/2019 11:10,11/01/2019 12:10,77
11/01/2019 12:10,11/01/2019 13:10,77
11/01/2019 13:10,11/01/2019 14:10,77
11/01/2019 14:11,11/01/2019 15:11,79
11/01/2019 15:11,11/01/2019 16:11,77
11/01/2019 16:11,11/01/2019 17:11,79
11/01/2019 17:11,11/01/2019 18:11,73
11/01/2019 18:11,11/01/2019 19:12,77
11/01/2019 19:12,11/01/2019 20:12,77
11/01/2019 20:12,11/01/2019 21:12,77
11/01/2019 21:12,11/01/2019 22:12,77
11/01/2019 22:12,11/01/2019 23:12,76
11/01/2019 23:12,12/01/2019 00:13,76
12/01/2019 00:13,12/01/2019 01:13,78
12/01/2019 01:13,12/01/2019 02:13,77
12/01/2019 02:13,12/01/2019 03:13,78
12/01/2019 03:13,12/01/2019 04:13,79
12/01/2019 04:14,12/01/2019 05:14,77
12/01/2019 05:14,12/01/2019 06:14,77
12/01/2019 06:14,12/01/2019 07:14,75
12/01/2019 07:14,12/01/2019 08:14,75
12/01/2019 08:14,12/01/2019 09:15,78
12/01/2019 09:15,12/01/2019 10:15,79
12/01/2019 10:15,12/01/2019 11:15,79
12/01/2019 11:15,12/01/2019 12:15,79
12/01/2019 12:15,12/01/2019 13:15,77
12/01/2019 13:16,12/01/2019 14:16,78
12/01/2019 14:16,12/01/2019 15:16,75
12/01/2019 15:16,12/01/2019 16:16,74
12/01/2019 16:16,12/01/2019 17:16,77
12/01/2019 17:16,12/01/2019 18:17,76
12/01/2019 18:17,12/01/2019 19:17,78
12/01/2019 19:17,12/01/2019 20:17,79
12/01/2019 20:17,12/01/2019 21:17,74
12/01/2019 21:17,12/01/2019 22:17,76
12/01/2019 22:17,12/01/2019 23:18,76
12/01/2019 23:18,13/01/2019 00:18,78
13/01/2019 00:18,13/01/2019 01:18,75
13/01/2019 01:18,13/01/2019 02:18,75
