Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
11/01/2019 11:23,11/01/2019 12:23,36
11/01/2019 12:23,11/01/2019 13:23,36
11/01/2019 13:23,11/01/2019 14:23,37
11/01/2019 14:24,11/01/2019 15:24,39
11/01/2019 15:24,11/01/2019 16:24,38
11/01/2019 16:24,11/01/2019 17:24,39
11/01/2019 17:24,11/01/2019 18:24,38
11/01/2019 18:24,11/01/2019 19:25,39
11/01/2019 19:25,11/01/2019 20:25,39
11/01/2019 20:25,11/01/2019 21:25,37
11/01/2019 21:25,11/01/2019 22:25,38
11/01/2019 22:25,11/01/2019 23:25,41
11/01/2019 23:26,12/01/2019 00:26,46
12/01/2019 00:26,12/01/2019 01:26,51
12/01/2019 01:26,12/01/2019 02:26,52
12/01/2019 02:26,12/01/2019 03:26,47
12/01/2019 03:26,12/01/2019 04:27,40
12/01/2019 04:27,12/01/2019 05:27,37
12/01/2019 05:27,12/01/2019 06:27,37
12/01/2019 06:27,12/01/2019 07:27,37
12/01/2019 07:27,12/01/2019 08:28,39
12/01/2019 08:28,12/01/2019 09:28,40
12/01/2019 09:28,12/01/2019 10:28,39
12/01/2019 10:28,12/01/2019 11:28,36
12/01/2019 11:28,12/01/2019 12:28,39
12/01/2019 12:28,12/01/2019 13:29,38
12/01/2019 13:29,12/01/2019 14:29,39
12/01/2019 14:29,12/01/2019 15:29,38
12/01/2019 15:29,12/01/2019 16:29,41
12/01/2019 16:29,12/01/2019 17:30,41
12/01/2019 17:30,12/01/2019 18:30,43
12/01/2019 18:30,12/01/2019 19:30,41
12/01/2019 19:30,12/01/2019 20:30,42
12/01/2019 20:30,12/01/2019 21:30,40
12/01/2019 21:31,12/01/2019 22:31,38
12/01/2019 22:31,12/01/2019 23:31,39
12/01/2019 23:31,13/01/2019 00:31,40
13/01/2019 00:31,13/01/2019 01:31,39
13/01/2019 01:31,13/01/2019 02:32,38
13/01/2019 02:32,13/01/2019 03:32,38
13/01/2019 03:32,13/01/2019 04:32,39
13/01/2019 04:32,13/01/2019 05:32,37
13/01/2019 05:32,13/01/2019 06:33,38
13/01/2019 06:33,13/01/2019 07:33,38
13/01/2019 07:33,13/01/2019 08:33,37
13/01/2019 08:33,13/01/2019 09:33,37
13/01/2019 09:33,13/01/2019 10:33,37
13/01/2019 10:33,13/01/2019 11:34,36
13/01/2019 11:34,13/01/2019 12:34,39
13/01/2019 12:34,13/01/2019 13:34,38
13/01/2019 13:34,13/01/2019 14:34,38
13/01/2019 14:34,13/01/2019 15:35,38
13/01/2019 15:35,13/01/2019 16:35,36
13/01/2019 16:35,13/01/2019 17:35,37
13/01/2019 17:35,13/01/2019 18:35,37
13/01/2019 18:35,13/01/2019 19:35,38
13/01/2019 19:36,13/01/2019 20:36,37
13/01/2019 20:36,13/01/2019 21:36,38
13/01/2019 21:36,13/01/2019 22:36,37
13/01/2019 22:36,13/01/2019 23:36,37
13/01/2019 23:36,14/01/2019 00:37,38
14/01/2019 00:37,14/01/2019 01:37,37
14/01/2019 01:37,14/01/2019 02:37,36
14/01/2019 02:37,14/01/2019 03:37,37
14/01/2019 03:37,14/01/2019 04:37,36
14/01/2019 04:38,14/01/2019 05:38,36
14/01/2019 05:38,14/01/2019 06:38,35
14/01/2019 06:38,14/01/2019 07:38,35
14/01/2019 07:38,14/01/2019 08:38,38
14/01/2019 08:38,14/01/2019 09:39,37
14/01/2019 09:39,14/01/2019 10:39,37
14/01/2019 10:39,14/01/2019 11:39,35
14/01/2019 11:39,14/01/2019 12:39,35
14/01/2019 12:39,14/01/2019 13:39,36
14/01/2019 13:40,14/01/2019 14:15,35
14/01/2019 14:21,14/01/2019 15:21,34
14/01/2019 15:21,14/01/2019 16:21,37
14/01/2019 16:21,14/01/2019 17:21,36
14/01/2019 17:22,14/01/2019 18:22,37
14/01/2019 18:22,14/01/2019 19:22,36
14/01/2019 19:22,14/01/2019 20:22,37
14/01/2019 20:22,14/01/2019 21:22,35
14/01/2019 21:22,14/01/2019 22:23,38
14/01/2019 22:23,14/01/2019 23:23,37
14/01/2019 23:23,15/01/2019 00:23,37
15/01/2019 00:23,15/01/2019 01:23,37
15/01/2019 01:23,15/01/2019 02:24,39
15/01/2019 02:24,15/01/2019 03:24,37
15/01/2019 03:24,15/01/2019 04:24,37
15/01/2019 04:24,15/01/2019 05:24,39
15/01/2019 05:24,15/01/2019 06:24,37
