Measurement Start Date/Time,Measurement End Date/Time,Dose Equivalent Rate(nSv/h)
08/02/2019 16:44,08/02/2019 17:44,87
08/02/2019 17:44,08/02/2019 18:44,91
08/02/2019 18:44,08/02/2019 19:44,92
08/02/2019 19:44,08/02/2019 20:44,88
08/02/2019 20:44,08/02/2019 21:45,87
08/02/2019 21:45,08/02/2019 22:45,89
08/02/2019 22:45,08/02/2019 23:45,91
08/02/2019 23:45,09/02/2019 00:45,88
09/02/2019 00:45,09/02/2019 01:46,87
09/02/2019 01:46,09/02/2019 02:46,88
09/02/2019 02:46,09/02/2019 03:46,89
09/02/2019 03:46,09/02/2019 04:46,88
09/02/2019 04:46,09/02/2019 05:46,91
09/02/2019 05:46,09/02/2019 06:47,88
09/02/2019 06:47,09/02/2019 07:47,91
09/02/2019 07:47,09/02/2019 08:47,89
09/02/2019 08:47,09/02/2019 09:47,89
09/02/2019 09:47,09/02/2019 10:48,89
09/02/2019 10:48,09/02/2019 11:48,86
09/02/2019 11:48,09/02/2019 12:48,93
09/02/2019 12:48,09/02/2019 13:48,90
09/02/2019 13:48,09/02/2019 14:48,92
09/02/2019 14:49,09/02/2019 15:49,90
09/02/2019 15:49,09/02/2019 16:49,94
09/02/2019 16:49,09/02/2019 17:49,91
09/02/2019 17:49,09/02/2019 18:49,91
09/02/2019 18:49,09/02/2019 19:50,92
09/02/2019 19:50,09/02/2019 20:50,90
09/02/2019 20:50,09/02/2019 21:50,88
09/02/2019 21:50,09/02/2019 22:50,86
09/02/2019 22:50,09/02/2019 23:50,87
09/02/2019 23:51,10/02/2019 00:51,85
10/02/2019 00:51,10/02/2019 01:51,89
10/02/2019 01:51,10/02/2019 02:51,89
10/02/2019 02:51,10/02/2019 03:51,88
10/02/2019 03:51,10/02/2019 04:52,90
10/02/2019 04:52,10/02/2019 05:52,88
10/02/2019 05:52,10/02/2019 06:52,88
10/02/2019 06:52,10/02/2019 07:52,88
10/02/2019 07:52,10/02/2019 08:52,90
10/02/2019 08:53,10/02/2019 09:53,88
10/02/2019 09:53,10/02/2019 10:53,87
